==24441== NVPROF is profiling process 24441, command: /home/sbchoi/git/caffe/build/tools/caffe time -model out.prototxt -iterations 1 -gpu 1
==24441== Profiling application: /home/sbchoi/git/caffe/build/tools/caffe time -model out.prototxt -iterations 1 -gpu 1
==24441== Profiling result:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
0.003246,0.048504,35,0.001385,0.362000,0.009958,"cudaConfigureCall"
0.002336,0.034897,8,0.004362,3.162000,0.011393,"cudaStreamDestroy"
0.002317,0.034618,40,0.000865,0.339000,0.007873,"cudaGetLastError"
0.002195,0.032797,10,0.003279,1.357000,0.019590,"cudaEventCreate"
0.001934,0.028891,6,0.004815,2.130000,0.014417,"cudaEventQuery"
0.001752,0.026184,7,0.003740,1.238000,0.016296,"cudaGetDevice"
0.001751,0.026162,5,0.005232,3.064000,0.010193,"cudaThreadSynchronize"
0.001726,0.025784,6,0.004297,3.336000,0.006296,"cudaStreamSynchronize"
0.001655,0.024729,43,0.000575,0.280000,0.004486,"cudaDeviceGetAttribute"
0.000921,0.013766,24,0.000573,0.186000,0.004566,"cuDeviceGet"
0.000554,0.008284,4,0.002071,1.040000,0.003158,"cudaUnbindTexture"
0.000485,0.007243,1,0.007243,7.243000,0.007243,"cudaDeviceSynchronize"
0.000325,0.004852,6,0.000808,0.326000,0.002503,"cuDeviceGetCount"
0.000259,0.003876,3,0.001292,0.893000,0.001716,"cuInit"
0.000241,0.003608,1,0.003608,3.608000,0.003608,"cudaSetDevice"
0.000195,0.002913,4,0.000728,0.571000,0.000906,"cudaPeekAtLastError"
0.000128,0.001909,3,0.000636,0.415000,0.000833,"cuDriverGetVersion"
